,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2020,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in
0,1,Kei Okawa,1998-03-27,24,JPN,Goal Keeper,22,Albirex Niigata FC (S),14,14,1260:00:00,0,0,0,0,0,0,3,0,0,0.0,0.0,0
1,2,Shoma Sato,1999-10-06,22,JPN,Defender,21,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2,3,Kotaro Takeda,1997-08-26,24,JPN,Defender,23,Albirex Niigata FC (S),14,14,1260:00:00,1,6,0,0,4,23,2,2,0,0.67,0.17,0
3,4,Rio Sakuma,1997-04-14,25,JPN,Defender,23,Albirex Niigata FC (S),14,13,1178:33:00,1,12,0,0,4,22,3,1,0,0.33,0.08,1
4,5,Kazuki Hashioka,1997-01-20,25,JPN,Defender,23,Albirex Niigata FC (S),14,14,1260:00:00,1,14,4,4,4,22,7,0,0,0.29,0.07,0
5,6,Jun Kit Gareth Low,1997-02-28,25,SGP,Midfielder,23,Albirex Niigata FC (S),6,6,282:36:00,0,1,1,1,0,13,3,2,0,0.0,0.0,0
6,7,Kenta Kurishima,1997-04-19,25,JPN,Midfielder,23,Albirex Niigata FC (S),14,14,1260:00:00,1,14,1,1,4,15,11,2,0,0.29,0.07,0
7,8,Hiroyoshi Kamata,1997-04-04,25,JPN,Midfielder,23,Albirex Niigata FC (S),14,13,1180:14:00,2,11,2,2,2,15,9,1,0,0.18,0.18,1
8,9,Reo Nishiguchi,1997-08-21,24,JPN,Forward,23,Albirex Niigata FC (S),11,6,681:31:00,5,20,1,1,9,8,6,0,0,0.45,0.25,5
9,10,Tomoyuki Doi,1997-09-24,24,JPN,Forward,23,Albirex Niigata FC (S),14,14,1260:00:00,11,83,3,3,43,13,9,1,0,0.52,0.13,0
10,11,Ji Xiong Daniel Goh,1999-08-13,22,SGP,Forward,21,Albirex Niigata FC (S),2,2,100:32:00,0,2,0,0,0,2,2,0,0,0.0,0.0,0
11,13,Ryoya Taniguchi,1999-08-31,22,JPN,Midfielder,21,Albirex Niigata FC (S),14,9,1034:54:00,4,33,2,2,10,24,12,3,0,0.3,0.12,5
12,14,Ryuya Mitsuzuka,1999-02-17,23,JPN,Forward,21,Albirex Niigata FC (S),10,0,366:15:00,0,5,2,2,1,8,5,1,0,0.2,0.0,10
13,16,Muhammad Fairoz Bin Hasan,1988-11-26,33,SGP,Forward,32,Albirex Niigata FC (S),9,9,436:17:00,1,9,1,1,5,3,1,1,0,0.56,0.11,0
14,17,Iman Hakim Bin Ibrahim,2002-03-09,20,SGP,Midfielder,18,Albirex Niigata FC (S),9,9,505:13:00,0,1,0,0,0,11,6,0,0,0.0,0.0,0
15,18,Mahiro Takahashi,2001-06-26,20,JPN,Defender,19,Albirex Niigata FC (S),9,0,14:36,0,1,0,0,0,2,1,0,0,0.0,0.0,9
16,19,Hiromasa Ogino,2000-03-10,22,JPN,Defender,20,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
17,20,Yasuhiro Hanada,2000-05-22,22,JPN,Defender,20,Albirex Niigata FC (S),11,1,429:14:00,1,9,3,3,6,3,2,1,0,0.67,0.11,10
18,21,Mohamed Hyrulnizam Bin Juma'at,1986-11-14,35,SGP,Goal Keeper,34,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
19,22,Toshihiko Masuda,2001-03-20,21,JPN,Defender,19,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
20,23,Yohhei Osada,1999-11-28,22,JPN,Defender,21,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
21,25,Ren Ishihara,2001-05-31,21,JPN,Defender,19,Albirex Niigata FC (S),1,0,0:00,0,0,0,0,0,1,0,0,0,0.0,0.0,1
22,26,Muhammad Aizil Mohamed Yazid,2004-12-24,17,SGP,Goal Keeper,16,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
23,27,Yu En Ong,2003-10-03,18,SGP,Midfielder,17,Albirex Niigata FC (S),4,2,94:24:00,1,1,0,0,1,6,3,1,0,1.0,1.0,2
24,28,Ryosuke Nagasawa,1998-09-25,23,JPN,Forward,22,Albirex Niigata FC (S),14,14,1255:35:00,3,14,4,4,6,19,35,3,0,0.43,0.21,0
25,37,Austin Ho Matsuoka Evangelista Kenji,2004-02-24,18,SGP,Defender,16,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
26,1,Jia Jun Zacharial Leong,1998-04-06,24,SGP,Goal Keeper,22,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
27,2,Muhammad Fadli Bin Kamis,1992-11-07,29,SGP,Defender,28,Balestier Khalsa FC,12,11,982:53:00,0,2,1,1,1,8,8,2,1,0.5,0.0,1
28,3,Muhammad Jufri Bin Taha,1985-03-04,37,SGP,Defender,35,Balestier Khalsa FC,6,2,244:47:00,0,0,0,0,0,2,2,0,0,0.0,0.0,4
29,4,Muhammad Khalili Bin Khalif,1997-01-03,25,SGP,Defender,23,Balestier Khalsa FC,3,3,270:00:00,0,0,0,0,0,1,1,0,0,0.0,0.0,0
30,5,Ensar Bruncevic,1999-02-13,23,SRB,Defender,21,Balestier Khalsa FC,5,5,450:00:00,3,8,0,0,4,7,1,1,0,0.5,0.38,0
31,6,C Aarish Kumar,1999-05-19,23,SGP,Midfielder,21,Balestier Khalsa FC,12,11,813:26:00,0,4,0,0,1,14,7,2,0,0.25,0.0,1
