,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2022,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
0,2,Tatsuya Sambongi,28/7/1999,22,JPN,Defender,23,Albirex Niigata FC (S),0,4,385:13:00,0,1,0,0,0,0,3,0,0,0,0,-4,0,0
1,3,Keito Hariya,18/5/2003,19,JPN,Defender,19,Albirex Niigata FC (S),0,8,748:54:00,0,2,1,1,0,0,5,0,0,0,0,-8,0,0
2,4,Jun Kobayashi,7/5/1999,23,JPN,Defender,23,Albirex Niigata FC (S),0,10,900:00:00,0,6,0,0,0,0,3,0,0,0,0,-10,0,0
3,5,Daichi Omori,1/4/2000,22,JPN,Defender,22,Albirex Niigata FC (S),0,10,900:00:00,0,15,3,3,0,0,17,0,0,0,0,-10,0,0
4,6,Kumpei Kakuta,8/5/1999,23,JPN,Midfielder,23,Albirex Niigata FC (S),0,10,897:47:00,0,14,0,0,0,0,8,0,0,0,0,-10,0,0
5,7,Masahiro Sugita,24/11/1999,22,JPN,Midfielder,23,Albirex Niigata FC (S),0,9,805:48:00,0,23,3,3,0,0,9,0,0,0,0,-9,0,0
6,8,Masaya Idetsu,11/5/1999,23,JPN,Midfielder,23,Albirex Niigata FC (S),0,5,450:00:00,0,8,6,6,0,0,4,0,0,0,0,-5,0,0
7,9,Muhammad Fikri Bin Junaidi,2/4/2000,22,SGP,Forward,22,Albirex Niigata FC (S),3,0,0,1,0,0,0,1,5,0,0,0,inf,inf,3,1,0
8,10,Kan Kobayashi,27/4/1999,23,JPN,Midfielder,23,Albirex Niigata FC (S),0,10,900:00:00,0,27,4,4,0,0,7,0,0,0,0,-10,0,0
9,11,Kodai Tanaka,23/12/1999,22,JPN,Forward,23,Albirex Niigata FC (S),0,9,827:21:00,0,40,2,2,0,0,5,0,0,0,0,-9,0,0
10,13,Mahiro Takahashi,26/6/2001,20,JPN,Midfielder,21,Albirex Niigata FC (S),10,0,14:04,0,0,0,0,3,6,0,0,0,inf,0,10,1,0
11,14,Reo Kunimoto,1/9/2001,20,JPN,Defender,21,Albirex Niigata FC (S),20,2,177:24:00,2,2,0,0,4,18,1,2,0,2,1,18,1,0
12,15,Tsubasa Kawanishi,12/6/2002,19,JPN,Defender,20,Albirex Niigata FC (S),1,0,23:01,0,1,0,0,0,1,0,0,0,0,0,1,1,0
13,16,Shogo Toyomura,6/11/1999,22,JPN,Defender,23,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,Ilhan Fandi Ahmad,8/11/2002,19,SGP,Forward,20,Albirex Niigata FC (S),0,0,34:00:00,0,3,1,1,0,0,0,0,0,0,0,0,0,1
15,18,Nicky Melvin Singh,13/6/2002,19,SGP,Midfielder,20,Albirex Niigata FC (S),13,6,375:57:00,1,10,1,1,6,13,13,0,0,0.6,0.1,7,1,0
16,19,Tadanari Lee,19/12/1985,36,JPN,Forward,37,Albirex Niigata FC (S),0,9,799:52:00,0,22,4,4,0,0,14,0,0,0,0,-9,0,0
17,20,Muhammad Fairoz Bin Hasan,26/11/1988,33,SGP,Forward,34,Albirex Niigata FC (S),8,1,137:07:00,0,11,0,0,1,8,0,0,0,0.09,0,7,1,0
18,21,Mohamed Hyrulnizam Bin Juma'at,14/11/1986,35,SGP,Goal Keeper,36,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,22,Shota Ochiai,23/6/2002,19,JPN,Forward,20,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,Muhammad Hilman Bin Norhisam,24/5/2004,18,SGP,Midfielder,18,Albirex Niigata FC (S),0,1,45:00:00,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
21,24,Muhammad Zamani Bin Md Zamri,31/5/2001,21,SGP,Midfielder,21,Albirex Niigata FC (S),0,3,185:06:00,0,3,1,1,0,0,8,0,0,0,0,-3,0,1
22,25,Yoshiki Matsuura,5/4/2001,21,JPN,Defender,21,Albirex Niigata FC (S),0,2,146:37:00,0,1,0,0,0,0,2,0,0,0,0,-2,0,0
23,26,Kanato Fukazawa,4/12/2001,20,JPN,Midfielder,21,Albirex Niigata FC (S),0,1,224:35:00,0,8,0,0,0,0,7,0,0,0,0,-1,0,0
24,27,Satsuki Mori,29/11/2001,20,JPN,Midfielder,21,Albirex Niigata FC (S),0,0,22:07,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,31,Takahiro Koga,11/3/1999,23,JPN,Goal Keeper,23,Albirex Niigata FC (S),21,10,900:00:00,0,0,0,0,0,0,2,0,0,0,0,11,1,0
26,51,Kai Yamamoto,21/6/2005,16,JPN,Goal Keeper,17,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,52,Junki Kenn Yoshimura,20/7/2004,17,SGP,Midfielder,18,Albirex Niigata FC (S),1,0,0:00,0,0,0,0,1,2,0,0,0,inf,0,1,1,0
28,53,Jun Kai Wong,21/10/2003,18,SGP,Midfielder,19,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,Hairul Syirhan Bin Mardan,21/8/1995,26,SGP,Goal Keeper,27,Balestier Khalsa FC,6,6,540:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,3,Keshav Kumar S/O Kishore Kumar,6/2/2001,21,SGP,Defender,21,Balestier Khalsa FC,3,0,8:58,0,0,0,0,0,0,0,0,0,0,0,3,1,0
31,4,Delwinder Singh S/o Ranjit Singh,5/8/1992,29,SGP,Defender,30,Balestier Khalsa FC,10,9,815:37:00,0,3,0,0,0,5,10,3,1,0,0,1,0,1
32,5,Ensar Bruncevic,13/2/1999,23,SRB,Defender,23,Balestier Khalsa FC,11,11,990:00:00,2,6,1,1,6,13,11,1,0,1,0.33,0,1,0
33,6,C Aarish Kumar,19/5/1999,23,SGP,Midfielder,23,Balestier Khalsa FC,2,2,75:00:00,0,1,0,0,1,3,1,0,0,1,0,0,1,0
34,7,Ji Xiong Daniel Goh,13/8/1999,22,SGP,Midfielder,23,Balestier Khalsa FC,2,1,112:44:00,0,1,0,0,0,1,1,0,0,0,0,1,0,1
35,8,Ammirul Emmran Bin Mazlan,18/4/1995,27,SGP,Midfielder,27,Balestier Khalsa FC,9,7,673:45:00,0,0,0,0,0,7,5,2,0,0,0,2,0,1
